Test Case Name;Objective;Precondition;Test Steps;Expected Result
"[PIX] POST /rec - 201 Recorrência criada com valorRec";"Validar a criação de recorrência utilizando valorRec";"Autenticação válida; Recebedor válido";"Enviar POST /rec com rec.vinculo válido; dataInicial maior ou igual à data de criação; periodicidade válida; rec.valor.valorRec preenchido";"HTTP 201; Recorrência criada com sucesso"
"[PIX] POST /rec - 201 Recorrência criada com valorMinimoRecebedor";"Validar a criação de recorrência utilizando valorMinimoRecebedor";"Autenticação válida; Recebedor válido";"Enviar POST /rec preenchendo apenas rec.valor.valorMinimoRecebedor";"HTTP 201; Recorrência criada com sucesso"
"[PIX] POST /rec - 201 Recorrência criada com loc válida";"Validar a criação de recorrência informando loc existente";"Autenticação válida; loc existente e não utilizada";"Enviar POST /rec informando rec.loc válida";"HTTP 201; Recorrência criada e vinculada à loc"
"[PIX] POST /rec - 400 RecOperacaoInvalida rec.vinculo inválido";"Validar erro ao criar recorrência com vinculo inválido";"Autenticação válida";"Enviar POST /rec com objeto rec.vinculo ausente ou inválido";"HTTP 400; Erro RecOperacaoInvalida retornado"
"[PIX] POST /rec - 400 RecOperacaoInvalida dataInicial anterior à criação";"Validar regra de dataInicial anterior à criação";"Autenticação válida";"Enviar POST /rec com rec.calendario.dataInicial anterior à data de criação";"HTTP 400; Erro RecOperacaoInvalida retornado"
"[PIX] POST /rec - 400 RecOperacaoInvalida dataFinal anterior a dataInicial";"Validar regra de dataFinal menor que dataInicial";"Autenticação válida";"Enviar POST /rec com dataFinal menor que dataInicial";"HTTP 400; Erro RecOperacaoInvalida retornado"
"[PIX] POST /rec - 400 RecOperacaoInvalida periodicidade inválida";"Validar erro ao informar periodicidade inválida";"Autenticação válida";"Enviar POST /rec com rec.calendario.periodicidade inválida";"HTTP 400; Erro RecOperacaoInvalida retornado"
"[PIX] POST /rec - 400 RecOperacaoInvalida rec.valor inválido";"Validar erro ao informar objeto valor inválido";"Autenticação válida";"Enviar POST /rec com rec.valor malformado";"HTTP 400; Erro RecOperacaoInvalida retornado"
"[PIX] POST /rec - 400 RecOperacaoInvalida valorRec inválido";"Validar erro ao informar valorRec inválido";"Autenticação válida";"Enviar POST /rec com rec.valor.valorRec inválido";"HTTP 400; Erro RecOperacaoInvalida retornado"
"[PIX] POST /rec - 400 RecOperacaoInvalida valorMinimoRecebedor inválido";"Validar erro ao informar valorMinimoRecebedor inválido";"Autenticação válida";"Enviar POST /rec com rec.valor.valorMinimoRecebedor inválido";"HTTP 400; Erro RecOperacaoInvalida retornado"
"[PIX] POST /rec - 400 RecOperacaoInvalida valorRec e valorMinimoRecebedor preenchidos";"Validar regra de exclusão mútua dos campos de valor";"Autenticação válida";"Enviar POST /rec preenchendo valorRec e valorMinimoRecebedor";"HTTP 400; Erro RecOperacaoInvalida retornado"
"[PIX] POST /rec - 400 RecOperacaoInvalida rec.recebedor inválido";"Validar erro ao informar recebedor inválido";"Autenticação válida";"Enviar POST /rec com rec.recebedor inválido";"HTTP 400; Erro RecOperacaoInvalida retornado"
"[PIX] POST /rec - 400 RecOperacaoInvalida politicaRetentativa inválida";"Validar erro ao informar politicaRetentativa inválida";"Autenticação válida";"Enviar POST /rec com rec.politicaRetentativa inválida";"HTTP 400; Erro RecOperacaoInvalida retornado"
"[PIX] POST /rec - 400 RecOperacaoInvalida loc inexistente";"Validar erro ao informar loc inexistente";"Autenticação válida";"Enviar POST /rec com rec.loc inexistente";"HTTP 400; Erro RecOperacaoInvalida retornado"
"[PIX] POST /rec - 400 RecOperacaoInvalida loc já utilizada";"Validar erro ao reutilizar loc já vinculada";"Existe recorrência criada com a mesma loc";"Enviar POST /rec reutilizando rec.loc já vinculada";"HTTP 400; Erro RecOperacaoInvalida retornado"
"[PIX] POST /rec - 400 RecOperacaoInvalida convenio não aceito";"Validar erro ao informar convenio não aceito pelo PSP";"Autenticação válida";"Enviar POST /rec com rec.recebedor.convenio não aceito";"HTTP 400; Erro RecOperacaoInvalida retornado"
"[PIX] POST /rec - 201 Recorrência criada com dataInicial igual à criação";"Validar criação com dataInicial igual ao momento da criação";"Autenticação válida";"Enviar POST /rec com dataInicial igual à data e hora da criação";"HTTP 201; Recorrência criada com sucesso"
"[PIX] POST /rec - 201 Recorrência criada com dataFinal igual a dataInicial";"Validar criação com dataFinal igual a dataInicial";"Autenticação válida";"Enviar POST /rec com dataFinal igual a dataInicial";"HTTP 201; Recorrência criada com sucesso"
"[PIX] POST /rec - 400 RecOperacaoInvalida dataFinal menor que dataInicial limite";"Validar borda negativa de dataFinal menor que dataInicial";"Autenticação válida";"Enviar POST /rec com dataFinal um dia antes da dataInicial";"HTTP 400; Erro RecOperacaoInvalida retornado"
"[PIX] POST /rec - 400 RecOperacaoInvalida concorrência loc";"Validar erro ao criar recorrência concorrente com mesma loc";"Recorrência existente com a loc";"Criar recorrência A com loc e tentar criar recorrência B com a mesma loc";"Primeira criação HTTP 201; Segunda criação HTTP 400"
