Test Case Name;Objective;Precondition;Test Steps;Expected Result
"[PIX] GET /rec - 200 Lista de recorrências retornada com sucesso";"Validar consulta da lista de recorrências";"Autenticação válida; Existem recorrências cadastradas";"Enviar GET /rec sem filtros";"HTTP 200; Lista de recorrências retornada com sucesso"
"[PIX] GET /rec - 200 Lista de recorrências retornada vazia";"Validar consulta da lista de recorrências quando não existem registros";"Autenticação válida; Nenhuma recorrência cadastrada";"Enviar GET /rec sem filtros";"HTTP 200; Lista retornada vazia"
"[PIX] GET /rec - 200 Lista de recorrências filtrada por status";"Validar consulta da lista de recorrências com filtro por status";"Autenticação válida; Existem recorrências com diferentes status";"Enviar GET /rec informando filtro de status";"HTTP 200; Lista retornada contendo apenas recorrências do status informado"
"[PIX] GET /rec - 200 Lista de recorrências filtrada por período";"Validar consulta da lista de recorrências com filtro por período";"Autenticação válida; Existem recorrências em diferentes datas";"Enviar GET /rec informando filtros de data inicial e data final";"HTTP 200; Lista retornada conforme período informado"
"[PIX] GET /rec - 200 Lista de recorrências paginada";"Validar consulta da lista de recorrências com paginação";"Autenticação válida; Existem mais recorrências que o limite por página";"Enviar GET /rec informando parâmetros de paginação";"HTTP 200; Lista retornada conforme página solicitada"
"[PIX] GET /rec - 200 Lista de recorrências com limite máximo de registros";"Validar consulta com limite máximo permitido de registros";"Autenticação válida; Existem recorrências suficientes";"Enviar GET /rec com parâmetro de limite máximo";"HTTP 200; Lista retornada respeitando o limite máximo"
"[PIX] GET /rec - 400 Requisição inválida";"Validar erro ao consultar lista com parâmetros inválidos";"Autenticação válida";"Enviar GET /rec com filtros inválidos ou malformados";"HTTP 400; Erro de requisição inválida retornado"
"[PIX] GET /rec - 401 Não autorizado";"Validar erro ao consultar lista sem autenticação";"Token ausente ou inválido";"Enviar GET /rec sem token de autenticação";"HTTP 401; Erro de não autorizado"
"[PIX] GET /rec - 403 Acesso negado";"Validar erro ao consultar lista sem permissão";"Token válido sem escopo necessário";"Enviar GET /rec com token sem permissão";"HTTP 403; Erro de acesso negado"
"[PIX] GET /rec - 500 Erro interno do servidor";"Validar erro interno ao consultar lista de recorrências";"Autenticação válida";"Enviar GET /rec durante falha interna do serviço";"HTTP 500; Erro interno retornado"
"[PIX] GET /rec - 503 Serviço indisponível";"Validar indisponibilidade do serviço de consulta";"Autenticação válida";"Enviar GET /rec durante indisponibilidade do serviço";"HTTP 503; Serviço indisponível"
"[PIX] GET /rec - 200 Consulta com paginação limite inferior";"Validar borda de paginação com página inicial";"Autenticação válida; Existem recorrências";"Enviar GET /rec informando página inicial";"HTTP 200; Lista retornada corretamente"
"[PIX] GET /rec - 200 Consulta com paginação limite superior";"Validar borda de paginação com página máxima";"Autenticação válida; Existem recorrências";"Enviar GET /rec informando última página";"HTTP 200; Lista retornada corretamente"
"[PIX] GET /rec - 200 Consulta com filtros extremos";"Validar consulta com filtros no limite permitido";"Autenticação válida; Existem recorrências";"Enviar GET /rec com todos os filtros preenchidos no limite";"HTTP 200; Lista retornada conforme filtros aplicados"
"[PIX] GET /rec - 200 Consulta em cenário de alta carga";"Validar estabilidade da consulta em alta concorrência";"Autenticação válida; Existem recorrências";"Enviar múltiplas requisições GET /rec simultaneamente";"HTTP 200; Lista retornada sem degradação ou erro"
